text,feeling
@fa6ami86 so happy that salman won.  btw the 14sec clip is truely a teaser,0
@phantompoptart .......oops.... I guess I'm kinda out of it.... Blonde moment -blushes- epic fail,0
@bradleyjp decidedly undecided. Depends on the situation. When I'm out with the people I'll be in Chicago with? Maybe.,1
@Mountgrace lol i know! its so frustrating isnt it?!,1
@kathystover Didn't go much of any where - Life took over for a while,1
@TashaWilson like questions she asks me the date etc..i say that i have been to birmingham lol its weird o well  u ok?,1
@lisastarlynn I haven't heard anything. I'll tweet you as soon as I hear. I'm really worried actually,0
@SusanCosmos @speakgirl Thx 4 sharing!,1
"@lamere thank you so much, looking at these pics makes me want to have one more",0
"not it teh best form today, dont no why, just having a pissy day, i am all ways happy but to day ah not really   annoyed, bored, angry",0
About to go to bed. Sleeping really late tomorrow!  I am so glad the Tigers won tonight!!,1
Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day,0
AHH i'm so HAPPY. I just found my ipod.  God is sooo good to me!,1
"Hoping for a better day today. Yesterday was fine until I passed out at my desk, fell off chair, and carpet burned my forehead.",0
@poepiandzegiant oops just saw you said hello! Hi there,1
@jayadore fuckyeah ;) also yay shoes and bag!!!!!! I'm excited for you,1
say it ain't so #trackle say it ain't so!,0
att workkk dyinggg to get the fxckkkkk outt,0
Said something harsh and didn't even realize it's harsh until I said it.. Sorry  http://myloc.me/2Keo,0
@jchronowski47    oh no...tied now!   -Linda,0
Twitter is useful in that it reminds people what they forgot to ask me about on a given day. It is also excellent for inspiration,1
Hoping I at least have fun 2nite.  Today was 1 horrible way 2 start off a birthday,0
@kirsty_gilfo yup! That's the one  Mmm....yum cha! Have lots of dumplings for me,1
Italian Shaved on the mall is D-licious and all over me!!!  and my printer...  But it is D-Licious!,0
Mum's off to bed... Nip/tuck time noow,1
@WKJThD but-I know He has awesome plans thru it all-and I will hold my head up high...  blessed with you all!!  HOW ARE YOU???,1
"Have been LOL big time at this Apprentice video http://ping.fm/vXPnd (via @tdrury) - Thanks, me and @rebel_aceman laughed at it too!",1
"Sometimes, people who hate Twitter are so much more amusing than people who use Twitter....",1
60+ Beautiful Logo Design Tutorials And Resources  http://bit.ly/Q5Jo0 Wel nice,1
@franklang Wish I were in Switzerland.... The blues are playing like amateurs,0
@Junderstated lls ain't that the truth,1
@NileyLoveStory probably wesupportmustin :| I don't affilate myself with Niley videos on teammustin,1
My favorite song for now. I even learned the dance moves also  Ã¢â¢Â« http://blip.fm/~7sf9m,1
Done with recital A     but it went well!!!  3 more to go!  yay!!!!!,0
Nagging tummy ache 4 days now...kept me up w/ nightmares last night  tums are my bff rt now,0
500 fps,1
@polyzzz Goodnight and sweet dreams to you also,1
Thinking of getting a tatoo,1
@NMaize I miss Yobachi's totems  lol,0
"@sdawara ooooo.... even before @maheshmurthy started seedfund, the fund given in seed stage used to b called as seedfund..",1
Need to visit the &quot;Australia Shop&quot; - I'm down to my last 2 Butter Menthols and my throat is still hurty,0
@NicoleSimon Threat or promise?,1
is drinking lovely tea she bought in London in December: Yumchaa's &quot;Caramel Sweetheart&quot;. It's almost all gone...  http://www.yumchaa.com/,0
@GDuffOnline Thanks babe. Hitting the station 2day. Go drop some bangas.,1
"@Alphacat1 hehehe bless  you enjoy star trek, you should be sleeping it's late LOL bad kitty hehehe LoveYa",1
how sad is losing laptop's adaptor?,0
@MeganCamp Those are all popular responses,1
@ddlovato owr family own a jehtskii (: buht ihts winter over here so ihave too wait till summer  jetskis are so fun.,0
I miss the two david. archuleta and cook! HUHU  i miss them soooo baaad!,0
@etrangle k check ur hotmail! i cant rly help much now,0
gonna sleep now la. tmr school.  no off-in-lieu for sat's vesak day. not fair. tmr programming. deal with codes again. haiyah.,0
"@MissSydneyJ Im good, lol... I feel awake",1
@AJDADDY lol I absolutely hate u!,1
@meaghanellenxo oh awesome =] i cant wait to hear it eh,1
@squarespace This my last tweet to you.  I would LOVE to win an iphone but my luck hasn't been the best here lately. #squarespace,0
"Wow... Airbus 380, take me away!  http://bit.ly/63feh",1
"Gotta do some chores now  Then will do a bit of revision, and then finish up my video!",0
@D_AMAZIN Won't I get arrested if I am naked on the beach?lol,1
@MeAllTimeLow i know. You were laughing while i was on the ground,0
@sharaknight dang it I got a second look and he was so good looking but I had to get off for my exit,0
@itsjudytime I just spent the last couple of hours on your YouTube channel.  Great videos!!!,1
@Chicago_Ted I just miss driving my car.  I haven't driven it since I got back yet.,0
it's Julie's last day in the office before heading back to the UK for good  Cyprus will miss her.,0
is sad  things are already not the same....,0
"@TomRaftery No problem, my family have kept bee's for 4 generations, however I suffer from anaphylaxis to bee sting",0
my poor puppy is a litle depress,0
Ohhhh lord production is going way over time! NY I wish was now... Vacation,0
"How to build a large MULTIMEDIA presentation online - from Soul of Athens 2009, LIVE TODAY!  http://bit.ly/1fBIk PLUS inspiring MM sites",1
@nicadler... im sooooo with ya,1
My twitpic isn't working  I wanna show ya'll my sexy shoes I'm rockin tonight.....,0
@beckaymc  no problem!  your welcome.,1
Had to unfollow some people guys.    I can't get flooded every time.,0
@logansutch You can go driving?! HOW?! WHY!,0
Decided to play with the new arduino for the first time - sooo easy to get started  Now having fun with code and flashy lights!,1
it's just about done!,1
@DubDior Lmfaooooo .. i mean anything for u!  i tried to do that as smoove as possible! lol U was good tho !,1
Hi Haters...who talking bout my Elem school pic Chellelilbmore@UrbanInformer i love your new pic you were handsome back then and still is,1
"On the way to camp at last. Think I might have offended someone at the meeting earlier, and it bugs me.",0
i need sleep. Its too early. I went to bed at like 6 something because i couldnt sleep,0
bliss n eso &amp; pink concert soon,1
In 5 minutes my birthday is over,0
"Going to bed, strangely feeling quite nauseous",0
"Bored, was sewing but now RSI is troubling me",0
@JLSOfficial R jLs EvA gONnA PlAy iN DuBliN ???  sEeN YiS aT d ChiLdLinE CoNcErT DaHs iT,0
@LilPookieJ I learned from you,1
"@ViolaMaths Wow, you must be shattered! Glad you enjoyed gig and hope maths lecture went well. Did you manage to stay awake?!!",1
@BillohBill &quot;projectile&quot; very clever warpig,1
idont get it. its OUR vacation too so how cum we cant decide wat 2 do - its planned 4 us if we like it or not,0
"gota watch hollyoaks this morning, in bed me thinks",1
Lunchtime walks in a bid to lose weight are most annoying when all the pubs one passes are throwing out delicious food smells,0
@vrthejas I have many more than that. .,0
Back home! Feels great sitting in front of moi desk's 32' LCD,1
I'm just trying to write CIL I can't think of anything ARGHHH,0
"listen music, and doing my homework",0
"Walked outside for a few mins, and now covered in Skeeter bites",0
"itunes says that an update is available (3.0), but then just does nothing when I press update",0
Hmm don't know what to do today -- Model just canceled   = I hate it when that happens..will have to do gardening!,0
(@SHUTUP) it's so warm here  just the way i love it,1
Yes my laptop works  So now i can abort my diplomthesis,1
@halina1979 hey! sent you some pics to your podcart email. hope you get them alright,1
